User_ID,Book_ID,Book_Title,Recommendation_Score
7,038550120X,A Painted House,6.8
7,0380820145,Friendship Cake,0.0
7,0385495439,The Colony of Unrequited Dreams : A Novel,0.0
7,0446678457,Cane River (Oprah's Book Club (Paperback)),0.0
7,0553380850,Lamb in Love,0.0
10,0060517794,Little Altars Everywhere,9.165074067
10,080411935X,Standing in the Rainbow,9.0
10,0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,8.0
10,0679776818,Birdsong: A Novel of Love and War,8.0
10,0425044440,Mommie Dearest : Joan Crawford,7.0
13,0684867621,The Girl Who Loved Tom Gordon : A Novel,7.883050396
13,0553262807,Always Coming Home,7.0
13,1560252758,The Gangs of New York: An Informal History of the Underworld,5.0
13,0316833169,Simple Recipes: Stories,0.0
13,0380013207,The Lathe of Heaven,0.0
14,0451166892,The Pillars of the Earth,7.9
14,0312291639,The Nanny Diaries: A Novel,0.0
14,0345354621,The Terminal Man,0.0
14,0670891770,A Friend of the Earth,0.0
16,0553576240,Death in a Mood Indigo,10.0
16,0765307154,The Last Jihad: A Novel,10.0
16,0743411439,Bitterroot,10.0
16,0743230051,He Sees You When You're Sleeping : A Novel,10.0
16,0679745203,The English Patient,10.0
19,0393322815,Daily Afflictions: The Agony of Being Connected to Everything in the Universe,10.0
19,0671742515,Long Dark Tea Time of the Soul,10.0
19,0330267388,"Life,the Universe and Everything",10.0
19,0871591014,"Listen, Beloved",10.0
23,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",9.0
23,043935806X,Harry Potter and the Order of the Phoenix (Book 5),7.75
23,055310666X,False Memory,7.0
23,0060158859,Go Toward the Light,0.0
23,1401901484,Life Is Short-Wear Your Party Pants: Ten Simple Truths That Lead to an Amazing Life,0.0
24,0330332775,Bridget Jones's Diary,8.365515948
24,014058501X,Coleridge: Selected Poetry and Prose (Penguin Poetry Library),8.0
24,0062548662,Meditations for Women Who Do Too Much - 10th Anniversary,4.0
24,0749306742,The Irish Witch,2.0
25,156098659X,The Fossils of the Burgess Shale,10.0
25,1569317526,"ZOIDS: Chaotic Century, Vol. 3",10.0
25,1569317518,"ZOIDS: Chaotic Century, Vol. 2",10.0
28,0440498058,A Wrinkle In Time,8.203086956
